feed,title,link,published,summary,fetched_at
BBC World,Gen Z toppled an autocrat - but old guard tipped to win Bangladesh vote,https://www.bbc.com/news/articles/c1m7444nr3yo?at_medium=RSS&at_campaign=rss,2026-02-05T00:35:15,A student uprising promised a new dawn in Bangladesh but old parties are tipped to win a landmark election.,2026-02-05T05:21:00.591598
TechCrunch,"As it preps Specs for the masses, Snap’s Q4 shows revenue growth but fewer daily users",https://techcrunch.com/2026/02/04/as-it-preps-specs-for-the-masses-snaps-q4-shows-revenue-growth-but-fewer-daily-users/,2026-02-05T00:07:59,The company is engaged in a strategy to diversify its revenue sources as it heads into the new year.,2026-02-05T05:21:02.427708
CNBC Business,Ciena returns to S&P 500 after getting booted 17 years ago,https://www.cnbc.com/2026/02/04/ciena-returns-to-sp-500-after-getting-booted-17-years-ago.html,2026-02-05T00:07:51,"Ciena is predicting the fastest growth since 2011 in the current fiscal year, thanks to its position in artificial intelligence.",2026-02-05T05:21:03.379178
TechCrunch,"Mundi Ventures closes on €750M for Kembara, its largest deep tech and climate fund",https://techcrunch.com/2026/02/04/mundi-ventures-closes-on-e750m-for-kembara-its-largest-deep-tech-and-climate-fund/,2026-02-05T00:01:00,Spain-based deeptech and climate megafund Kembara has just completed a €750 million first close toward its €1 billion target.,2026-02-05T05:21:02.427708
CNBC Business,Snap shares rise on fourth-quarter earnings that beat on sales,https://www.cnbc.com/2026/02/04/snap-q4-earnings-report-2025.html,2026-02-04T23:50:55,Snap on Wednesday released fourth-quarter earnings that beat on sales but missed on revenue guidance.,2026-02-05T05:21:03.379178
TechCrunch,"Stripe alumni raise €30M Series A for Duna, backed by Stripe and Adyen execs",https://techcrunch.com/2026/02/04/stripe-alumni-raise-e30m-series-a-for-duna-backed-by-stripe-and-adyen-execs/,2026-02-04T23:49:18,"Having raised a €30 million Series A round led by CapitalG, business identity verification startup Duna is now among the most well-capitalized European startups founded by Stripe alumni.",2026-02-05T05:21:02.427708
ESPN News,"Grab your popcorn -- it's Man City vs. Arsenal for the Carabao Cup, and maybe more",https://www.espn.com/soccer/story/_/id/47831362/man-city-face-arsenal-carabao-cup-final-maybe-more,2026-02-04T23:49:00,"Man City's win in the Carabao Cup semis sets the stage for a final vs. Arsenal, and a potentially thrilling end to the season.",2026-02-05T05:21:04.500991
BBC World,Melinda French Gates says ex-husband Bill has questions to answer over Epstein,https://www.bbc.com/news/articles/cr4kyk9nv5lo?at_medium=RSS&at_campaign=rss,2026-02-04T23:42:41,She said her ex-husband and others named in the Epstein files needed to answer whatever questions remain.,2026-02-05T05:21:00.591598
TechCrunch,"Alphabet won’t talk about the Google-Apple AI deal, even to investors",https://techcrunch.com/2026/02/04/alphabet-wont-talk-about-the-google-apple-ai-deal-even-to-investors/,2026-02-04T23:28:31,Alphabet CEO skipped an analyst's question about Apple on the company's earnings call.,2026-02-05T05:21:02.427708
CNBC Business,Qualcomm stock sinks as memory shortage drags on forecast,https://www.cnbc.com/2026/02/04/qualcomm-qcom-q1-2026-earnings.html,2026-02-04T23:26:18,"""We're starting to see that memory is going to define the size of the mobile market,"" Qualcomm CEO Cristiano Amon said in an interview.",2026-02-05T05:21:03.379178
ESPN News,Ranking the top 12 men's Coach of the Year contenders at midseason,https://www.espn.com/mens-college-basketball/story/_/id/47820063/mens-college-basketball-ranking-coach-year-contenders-2026,2026-02-04T23:17:12,"From Fred Hoiberg and the turnaround he's authored at Nebraska to usual suspects, see who made the short list.",2026-02-05T05:21:04.500991
ESPN News,"Bracketology: The good, and the less good, about Illinois' recent success",https://www.espn.com/espn/feature/story/_/page/bracketology/ncaa-bracketology-2026-march-madness-men-field-predictions,2026-02-04T23:17:12,The Fighting Illini are the top 2-seed -- with plenty of time this season to move further up the board.,2026-02-05T05:21:04.500991
ESPN News,Power Rankings: Can Texas exact revenge and snap LSU's win streak?,https://www.espn.com/womens-college-basketball/story/_/id/47818217/womens-college-basketball-2025-2026-power-rankings-lsu-texas,2026-02-04T23:17:12,"The Tigers seek to sweep a key series in the SEC, but the Longhorns look to avenge their loss in Baton Rouge from last month.",2026-02-05T05:21:04.500991
ESPN News,"Bracketology: Duke returns to top 16, Princeton suffers biggest slide",https://www.espn.com/espn/feature/story/_/id/30423107/ncaa-women-bracketology-2026-women-college-basketball-projections,2026-02-04T23:17:12,"The Blue Devils, up one line to a No. 4 seed, have won 13 straight games and sit atop the ACC.",2026-02-05T05:21:04.500991
BBC World,A global craze for Korean culture is making its humblest snacks unaffordable,https://www.bbc.com/news/articles/c4gv1lyvvedo?at_medium=RSS&at_campaign=rss,2026-02-04T23:01:13,"Black, crispy, often flat and square, dried seaweed is growing in popularity - but also in price.",2026-02-05T05:21:00.591598
TechCrunch,Google’s Gemini app has surpassed 750M monthly active users,https://techcrunch.com/2026/02/04/googles-gemini-app-has-surpassed-750m-monthly-active-users/,2026-02-04T22:53:46,"Google revealed a significant milestone for its Gemini app, announcing over 750 million monthly active users as it competes with ChatGPT and Meta AI.",2026-02-05T05:21:02.427708
CNBC Business,"E.l.f. Beauty posts earnings beat, raises full-year guidance",https://www.cnbc.com/2026/02/04/elf-beauty-elf-q3-2026.html,2026-02-04T22:52:55,"E.l.f. Beauty said its acquisition of Hailey Bieber's skin-care company, Rhode, contributed $128 million to the company's net third-quarter sales growth.",2026-02-05T05:21:03.379178
ESPN News,"Ghostbusters: Back Darnold, Seahawks to exorcise some demons in Super Bowl LX",https://www.espn.com/espn/betting/story/_/id/47820761/super-bowl-60-sports-betting-odds-sam-darnold-seahawks-patriots-stats-props,2026-02-04T22:37:53,Liz Loza advises not to underestimate the revenge factor as Sam Darnold and the Seahawks face their New England demons in the Super Bowl,2026-02-05T05:21:04.500991
ESPN News,Super Bowl squares: Printable grid for your Patriots-Seahawks party,https://www.espn.com/espn/betting/story/_/id/47809879/2026-super-bowl-squares-patriots-seahawks-printable-sheet,2026-02-04T22:37:53,Print out the 2026 Super Bowl squares grid and get everyone involved.,2026-02-05T05:21:04.500991
ESPN News,12 teams that improved their 2026 CFP chances with their roster moves,https://www.espn.com/college-football/recruiting/story/_/id/47818678/college-football-playoff-2026-recruiting-transfer-portal-moves,2026-02-04T22:35:31,"With signing day closing many team's personnel moves, we look at the teams ready to make long postseason runs.",2026-02-05T05:21:04.500991
BBC World,Son of Norway's Crown Princess gives evidence as rape trial continues,https://www.bbc.com/news/videos/cql4qd7yr5do?at_medium=RSS&at_campaign=rss,2026-02-04T22:32:46,"The BBC's Paul Kirby reports from outside the court in Oslo, where Marius Borg Høiby denies rape and many other serious charges.",2026-02-05T05:21:00.591598
ESPN News,How James Franklin raided Penn State's class and jump-started Virginia Tech recruiting,https://www.espn.com/college-football/recruiting/story/_/id/47806854/james-franklin-virginia-tech-recuiting-class-2026-overhaul-penn-state,2026-02-04T22:32:36,"In a sprint to the early signing period, Franklin gutted his former school and brought life to the Hokies.",2026-02-05T05:21:04.500991
CNBC Business,We're raising our price target on Eli Lilly as the GLP-1 leader delivers a huge beat,https://www.cnbc.com/2026/02/04/were-raising-our-price-target-on-eli-lilly-as-the-glp-1-leader-delivers.html,2026-02-04T22:31:07,"Combined sales for the company's blockbuster GLP-1 drugs Zepbound and Mounjaro exceeded $1 billion, with each showing triple-digit growth.",2026-02-05T05:21:03.379178
TechCrunch,The Wayback Machine debuts a new plug-in designed to fix the internet’s broken links problem,https://techcrunch.com/2026/02/04/the-wayback-machine-debuts-a-new-plugin-designed-to-fix-the-internets-broken-links-problem/,2026-02-04T22:27:12,"Should a linked web page go offline, the new feature will then redirect readers to the archived versions, so that there is no drop in service. The tool also archives a user's own posts, helping to ensure their longevity.",2026-02-05T05:21:02.427708
